date,ambiguity_metric,risk
2018-03-22,0.0044906045084636675,0.006370748948207418
2018-03-23,0.005617155026658869,0.013028045100036034
2018-03-26,0.005392504920144781,0.01134593490320573
2018-03-27,0.0034596416879445367,0.013474910691449548
2018-03-28,0.003313547980462848,0.013866773697802204
2018-03-29,0.0033803218746126912,0.017664470816014476
2018-03-30,0.004716698149294488,0.012445562805388248
2018-04-02,0.004483135216148793,0.012111072004933015
2018-04-03,0.004646403894473069,0.011406362692236417
2018-04-04,0.005354824110340286,0.0075803660644411025
2018-04-09,0.0028937800197615816,0.0028010200317653182
2018-04-10,0.004184344241661853,0.01015399173841492
2018-04-11,0.00413837689192678,0.009841104385342907
2018-04-12,0.005477605701868573,0.010803307884864556
2018-04-13,0.005691132711749043,0.011477946667642791
2018-04-16,0.006240632933115799,0.013828238089367412
2018-04-17,0.00573438684242928,0.007771526305608724
2018-04-18,0.005907866925932582,0.008504965844167904
2018-04-19,0.005387859368023293,0.01253906214713828
2018-04-20,0.0047477650716120125,0.01317266491552358
2018-04-23,0.004228128777371379,0.011996110060425785
2018-04-24,0.0043045905079341544,0.0126542612971537
2018-04-25,0.005948538002539252,0.013279254929927554
2018-04-26,0.006099638194994032,0.015327412100009478
2018-04-27,0.006245624989197093,0.014162602255654468
2018-05-02,0.005952952878236868,0.014173107914063126
2018-05-03,0.0064885833881318765,0.010134559147396952
2018-05-04,0.006425282896913929,0.010175287269233384
2018-05-07,0.006493481432470958,0.007898518957948915
2018-05-08,0.004323494492127007,0.008137453826494053
2018-05-09,0.004537531327595315,0.008787513845033528
2018-05-10,0.004253549539157204,0.008710612380137484
2018-05-11,0.005066679531611154,0.00881078411673579
2018-05-14,0.005429665255701907,0.007208042660134077
2018-05-15,0.004722165788791113,0.0058394890305035795
2018-05-16,0.0032260625039021266,0.007379227783389554
2018-05-17,0.0034524272819462633,0.00770133913051784
2018-05-18,0.004062733697545528,0.008809359471782227
2018-05-21,0.004234468947335821,0.007970287597394958
2018-05-22,0.004187326238956535,0.007945427208407324
2018-05-23,0.004037939929494695,0.009339642038683408
2018-05-24,0.004031602947236605,0.009297024254135993
2018-05-25,0.0037454358591089325,0.006517915765873422
2018-05-28,0.004767902189020866,0.006425187053017168
2018-05-29,0.005622940917824155,0.006548192527347672
2018-05-30,0.004631648571105162,0.0093450372930204
2018-05-31,0.003461774778844307,0.015634774014082184
2018-06-01,0.0032836833111220005,0.015970844511793036
2018-06-04,0.0032392680055349427,0.016706650240505168
2018-06-05,0.0030958113112713147,0.01686817842083275
2018-06-06,0.004628021839787179,0.011541337471707347
2018-06-07,0.005004698057806911,0.008058283234176634
2018-06-08,0.0050620748453966335,0.00974827196132113
2018-06-11,0.004371317101544843,0.008292266522978892
2018-06-12,0.004243945710320483,0.009084451107259665
2018-06-13,0.0045563006650951084,0.009940580220017715
2018-06-14,0.005599329523777409,0.00994312198689371
2018-06-15,0.0059328542766156935,0.008348791988873635
2018-06-19,0.0072103465283995406,0.017140989557086657
2018-06-20,0.006112808405568887,0.01492595717861092
2018-06-21,0.005296554463525449,0.01494141586427505
2018-06-22,0.005284995967549634,0.016264183413734593
2018-06-25,0.005310703728070846,0.016235608552822713
2018-06-26,0.004560922544311779,0.008591105495592548
2018-06-27,0.005463532946485248,0.009122330000874842
2018-06-28,0.005236752192370171,0.009074414410470267
2018-06-29,0.005770055547189416,0.017871933714475565
2018-07-02,0.005520080431174239,0.02083953885665431
2018-07-03,0.0075211193159498155,0.021224534203246583
2018-07-04,0.007394390204826116,0.020321245622480156
2018-07-05,0.00799066453398005,0.02015784582503761
2018-07-06,0.006963980409546533,0.013921219356051262
2018-07-09,0.009028597436044134,0.015798069571309557
2018-07-10,0.008416816316764853,0.015737425971241493
2018-07-11,0.006959004047225279,0.016852797462797896
2018-07-12,0.006555616205404183,0.017712033165992763
2018-07-13,0.003586595448295357,0.01785138710455596
2018-07-16,0.003001609884144577,0.014259165345696287
