Date,China,Hongkong,Japan,US
1904-11-01,0.21874473989009857,0.0,0.7067137956619263,1.4470806121826172
1904-12-01,0.20527395606040955,0.0,0.9632086157798767,1.4053370952606201
1905-01-01,0.4361558258533478,0.0,1.0678297281265259,2.0905399322509766
1905-02-01,0.21673890948295593,0.0,0.5835278630256653,2.000666856765747
1905-03-01,0.31880977749824524,0.0,1.2600576877593994,2.277212619781494
1905-04-01,0.2447451800107956,0.0,0.4894903600215912,1.3245033025741577
1905-05-01,0.46882325410842896,0.0,0.7657446265220642,1.562744140625
1905-06-01,0.3572538197040558,0.0,1.304753065109253,2.2988505363464355
1905-07-01,0.191938579082489,0.0,0.7529898285865784,1.9489147663116455
1905-08-01,0.36866360902786255,0.0,0.8448540568351746,1.7665131092071533
1905-09-01,0.2863506078720093,0.015908367931842804,0.6681514382362366,1.6862870454788208
1905-10-01,0.1695154756307602,0.0,0.31077834963798523,1.3985025882720947
1905-11-01,0.14119862020015717,0.0,0.2980859875679016,1.3178538084030151
1905-12-01,0.10306242853403091,0.0,0.10306242853403091,1.5017668008804321
1906-01-01,0.11749155819416046,0.0,0.16155089437961578,1.3070935010910034
